q[nm-1]	I(q)[sr-1]_Luiz_eiger2_00364_av_sub_merged_rebin_ave.h5_00001_[POPS_4mM||sah=-0.500001|elev=-7.80781e-06]_trm=0.437477	error
9.95677829e-01	2.30430672e-03	1.78107229e-05
1.01361489e+00	2.30791947e-03	1.77335435e-05
1.03155208e+00	2.36887283e-03	1.75936345e-05
1.05546820e+00	2.42937701e-03	1.34725278e-05
1.08536339e+00	2.47441381e-03	1.31995064e-05
1.11525857e+00	2.51541231e-03	1.29744695e-05
1.14515388e+00	2.53812708e-03	1.27616912e-05
1.17504907e+00	2.54789274e-03	1.25835128e-05
1.20494425e+00	2.53526056e-03	1.24210390e-05
1.23483944e+00	2.52029514e-03	1.22710991e-05
1.26473463e+00	2.51121139e-03	1.20738732e-05
1.29462981e+00	2.46474231e-03	1.19003536e-05
1.32452500e+00	2.43216231e-03	1.16887539e-05
1.35442019e+00	2.36142986e-03	1.14957722e-05
1.38431549e+00	2.33568205e-03	1.13301387e-05
1.41421068e+00	2.29459144e-03	1.11934869e-05
1.44410586e+00	2.22416893e-03	1.10586269e-05
1.47400105e+00	2.14861082e-03	1.09259324e-05
1.50389624e+00	2.07444541e-03	1.07962572e-05
1.53379142e+00	2.00673174e-03	1.06360412e-05
1.56966567e+00	1.88499716e-03	8.82625297e-06
1.61151898e+00	1.74459556e-03	8.63922279e-06
1.65337229e+00	1.63686056e-03	8.49007389e-06
1.69522560e+00	1.49011133e-03	8.37934585e-06
1.73707879e+00	1.34486532e-03	8.25957639e-06
1.77893209e+00	1.20704821e-03	8.11627668e-06
1.82078540e+00	1.05421558e-03	7.96497119e-06
1.86263871e+00	9.46083040e-04	7.82110365e-06
1.90449190e+00	8.36133624e-04	7.72606311e-06
1.94634521e+00	7.13904920e-04	7.63524266e-06
1.98819852e+00	6.00793998e-04	7.54910408e-06
2.03005171e+00	5.34571042e-04	7.42841495e-06
2.07190514e+00	4.65799123e-04	7.30103591e-06
2.11973739e+00	3.64598301e-04	6.35099577e-06
2.17354870e+00	2.81017170e-04	6.27083391e-06
2.22736001e+00	2.38229831e-04	6.18825318e-06
2.28117156e+00	1.73744642e-04	6.09526959e-06
2.33498287e+00	1.32924308e-04	5.99094986e-06
2.38879418e+00	1.06044683e-04	5.91423317e-06
2.44260550e+00	6.88400016e-05	5.86714691e-06
2.49641705e+00	7.11869862e-05	5.80307539e-06
2.55022836e+00	5.83249558e-05	5.72516526e-06
2.61001873e+00	4.96047803e-05	5.09928820e-06
2.67578816e+00	5.74140047e-05	5.04688970e-06
2.74155760e+00	5.90529631e-05	5.10850442e-06
2.80732703e+00	8.26785002e-05	5.14117753e-06
2.87309647e+00	9.06217928e-05	5.14210273e-06
2.93886590e+00	9.73134302e-05	5.11821659e-06
3.00463533e+00	9.75412655e-05	4.97005878e-06
3.07040477e+00	1.06321182e-04	4.87067880e-06
3.14215326e+00	1.00825949e-04	4.39598836e-06
3.21988082e+00	1.02874930e-04	4.33753014e-06
3.29760838e+00	8.93356493e-05	4.28015364e-06
3.37533593e+00	9.33690283e-05	4.19866509e-06
3.45306349e+00	8.56065263e-05	4.14801529e-06
3.53079081e+00	7.11755397e-05	4.10943387e-06
3.60851836e+00	7.62983512e-05	4.04816829e-06
3.69222498e+00	6.40558700e-05	3.71349470e-06
3.78191066e+00	4.94614554e-05	3.70052722e-06
3.87159610e+00	5.14001275e-05	3.75266212e-06
3.96128178e+00	4.90583169e-05	3.76517372e-06
4.05096722e+00	4.45419612e-05	3.71541390e-06
4.14065313e+00	4.85583519e-05	3.62407410e-06
